"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"1","antwerp","2020-06-22",50904,"Historisch Centrum",51.21858,4.3985,"Boutique hotel","Hotel room",2,1,1,"$145.00",1,60,29,59,85,265,155,155,153,151.55,155,155,765,15155
"2","antwerp","2020-06-22",116134,"Eilandje",51.23051,4.40593,"Apartment","Entire home/apt",4,2,2,"$150.00",2,30,16,37,50,314,150,150,150,150,2100,3450,6000,7650
"3","antwerp","2020-06-22",224333,"Deurne Zuid West",51.19772,4.45853,"House","Private room",2,1,1,"$16.00",14,365,18,48,78,353,16,16,16,16,192,192,192,192
"4","antwerp","2020-06-22",224682,"Sint-Andries",51.21722,4.3979,"Apartment","Entire home/apt",3,1,2,"$105.00",2,30,0,20,50,325,115,115,115,115,3450,4600,4600,4600
"5","antwerp","2020-06-22",328911,"Stadspark",51.21078,4.4105,"Apartment","Entire home/apt",2,1,1,"$55.00",15,365,0,2,2,2,44,44,44,45.6859504132231,1320,2552,3872,16584
"6","antwerp","2020-06-22",345959,"Markgrave",51.19935,4.40154,"Apartment","Entire home/apt",3,2,2,"$45.00",3,90,0,6,10,282,55,55,55,55,1650,2970,4400,4565
"7","antwerp","2020-06-22",366252,"Borgerhout Intra Muros Noord",51.21601,4.43432,"Apartment","Private room",2,1,1,"$31.00",1,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"8","antwerp","2020-06-22",445201,"Borgerhout Intra Muros Noord",51.21579,4.43265,"Apartment","Private room",1,2,0,"$30.00",5,365,25,55,85,360,22,22,22,22,110,110,110,110
"9","antwerp","2020-06-22",465282,"Harmonie",51.2014,4.40649,"Apartment","Entire home/apt",1,1,1,"$48.00",2,1125,0,0,0,0,40,40,40,44.5972602739726,1200,2400,3600,16278
"10","antwerp","2020-06-22",522693,"Historisch Centrum",51.22001,4.39813,"Apartment","Entire home/apt",4,1,2,"$195.00",2,21,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"11","antwerp","2020-06-22",553618,"Eilandje",51.23183,4.40478,"Loft","Entire home/apt",2,1,1,"$150.00",2,1125,4,34,64,339,150,150,150,150,3900,3900,3900,3900
"12","antwerp","2020-06-22",569956,"Historisch Centrum",51.22397,4.40464,"Apartment","Entire home/apt",2,1,1,"$60.00",2,31,0,0,0,0,30,30.0166666666667,30.0111111111111,35.1972602739726,900,1801,2701,12847
"13","antwerp","2020-06-22",573641,"Hoogte",51.18187,4.39381,"Apartment","Entire home/apt",2,1,1,"$98.00",3,90,29,59,89,364,98,98,98,98,98,98,98,98
