"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"1","bologna","2020-08-31",0.41,"",NA,NA,"","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","bologna","2020-08-31",42196,"Santo Stefano",44.48507,11.34786,"Entire apartment","Entire home/apt","2","1",1,"$68.00","3",360,0,0,0,93,68,68,68,68,2040,4080,6120,18496
"3","bologna","2020-08-31",46352,"Porto - Saragozza",44.49168,11.33514,"Private room in apartment","Private room","3","1",3,"$35.29","1",730,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"4","bologna","2020-08-31",59697,"Santo Stefano",44.48817,11.34124,"Entire apartment","Entire home/apt","6","3",6,"$70.00","1",120,28,56,86,358,70,70,70,70,140,280,280,490
"5","bologna","2020-08-31",70366,"Porto - Saragozza",44.49699,11.32206,"Entire house","Entire home/apt","2","1",2,"$63.00","1",730,29,59,89,364,63,63,63,63,63,63,63,63
"6","bologna","2020-08-31",72628,"Porto - Saragozza",44.49088,11.3384,"Entire apartment","Entire home/apt","4","1",3,"$152.00","1",150,0,0,0,0,144.5,125.816666666667,104.177777777778,60.6301369863014,4335,7549,9376,22130
"7","bologna","2020-08-31",85368,"Santo Stefano",44.47834,11.35672,"Entire apartment","Entire home/apt","5","2",5,"$130.00","2",1125,0,11,41,316,130,130,130,130,3900,6370,6370,6370
"8","bologna","2020-08-31",130642,"Savena",44.46817,11.39,"Private room in apartment","Private room","2","1",1,"$45.00","2",30,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"9","bologna","2020-08-31",145779,"Porto - Saragozza",44.49306,11.33786,"Private room in apartment","Private room","1","1",1,"$35.00","3",365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"10","bologna","2020-08-31",168963,"Navile",44.5209,11.31697,"Entire apartment","Entire home/apt","2","1",2,"$36.00","3",1125,4,4,12,287,36.5384615384615,36.5178571428571,36.5384615384615,36.5384615384615,950,2045,2850,2850
"11","bologna","2020-08-31",184665,"Santo Stefano",44.50189,11.35031,"Private room in apartment","Private room","5","1",5,"$32.00","1",365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"12","bologna","2020-08-31",204553,"Porto - Saragozza",44.49105,11.33982,"Private room in apartment","Private room","1","1",2,"$46.00","2",15,29,59,89,89,46,46,46,46,46,46,46,12696
"13","bologna","2020-08-31",207245,"Porto - Saragozza",44.49254,11.34009,"Entire apartment","Entire home/apt","6","3",6,"$114.00","3",60,0,0,0,60,113,112.833333333333,113,112.885245901639,3390,6770,10170,34430
"14","bologna","2020-08-31",209692,"Navile",44.51628,11.33074,"Private room in apartment","Private room","1","1",1,"$25.00","1",90,0,0,1,244,25,25,25,25,750,1500,2225,3025
"15","bologna","2020-08-31",214615,"Santo Stefano",44.50172,11.35047,"Private room in apartment","Private room","5","1",3,"$32.00","1",760,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"16","bologna","2020-08-31",219878,"Santo Stefano",44.48787,11.35392,"Entire apartment","Entire home/apt","2","1",2,"$81.00","3",150,10,40,70,71,80.8,80.8,80.8,80.7142857142857,1616,1616,1616,23730
