"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"1","mallorca","2020-09-19",11547,"Calvià",39.51888,2.48182,"Entire apartment","Entire home/apt",2,1,1,"$89.00",5,60,13,43,73,311,79.9411764705882,79.9411764705882,79.9411764705882,84.3888888888889,1359,1359,1359,4557
"2","mallorca","2020-09-19",100831,"Santa Margalida",39.76347,3.16255,"Entire house","Entire home/apt",8,4,7,"$175.00",7,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"3","mallorca","2020-09-19",105891,"Maria de la Salut",39.66044,3.07165,"Entire townhouse","Entire home/apt",6,3,4,"$140.00",6,365,23,53,83,325,140,140,140,135.5,980,980,980,5420
"4","mallorca","2020-09-19",106833,"Sant Llorenç des Cardassar",39.616,3.30121,"Entire villa","Entire home/apt",4,2,4,"$200.00",5,365,20,50,80,355,200,200,200,200,2000,2000,2000,2000
"5","mallorca","2020-09-19",130669,"Palma de Mallorca",39.56478,2.60333,"Private room in apartment","Private room",2,1,2,"$110.00",2,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6","mallorca","2020-09-19",133709,"Palma de Mallorca",39.5633,2.62496,"Entire guesthouse","Entire home/apt",2,NA,0,"$75.00",1,1125,0,26,56,331,69,68.5294117647059,68.5294117647059,68.5294117647059,2070,2330,2330,2330
"7","mallorca","2020-09-19",159218,"Selva",39.73689,2.89745,"Entire villa","Entire home/apt",3,1,2,"$90.00",7,365,30,60,90,271,NA,NA,NA,90,0,0,0,8460
"8","mallorca","2020-09-19",160482,"Esporles",39.65414,2.62546,"Entire house","Entire home/apt",6,3,4,"$235.00",4,180,4,4,4,147,198.076923076923,185.714285714286,181.976744186047,177.752293577982,5150,10400,15650,38750
"9","mallorca","2020-09-19",164185,"Palma de Mallorca",39.57302,2.64355,"Private room in guest suite","Private room",2,1,1,"$45.00",5,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"10","mallorca","2020-09-19",164364,"Palma de Mallorca",39.55152,2.62398,"Private room in apartment","Private room",1,1,1,"$18.00",1,365,27,57,87,362,18,18,18,18,54,54,54,54
"11","mallorca","2020-09-19",166820,"Banyalbufar",39.67932,2.50136,"Private room in villa","Private room",2,1,1,"$50.00",1,1125,27,54,84,174,50,42.5,42.5,35.2356020942408,150,255,255,6730
"12","mallorca","2020-09-19",168668,"Manacor",39.66633,3.21769,"Entire house","Entire home/apt",4,2,0,"$150.00",7,28,15,45,75,350,150,150,150,150,2250,2250,2250,2250
"13","mallorca","2020-09-19",168697,"Sa Pobla",39.77096,3.02845,"Entire loft","Entire home/apt",2,1,1,"$46.00",2,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"14","mallorca","2020-09-19",178456,"Alcúdia",39.82169,3.11569,"Entire apartment","Entire home/apt",4,2,2,"$70.00",3,325,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"15","mallorca","2020-09-19",193426,"Pollença",39.8973,3.07411,"Entire apartment","Entire home/apt",6,3,5,"$125.00",3,1125,27,57,87,101,95,95,95,99.9431818181818,285,285,285,26385
