"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"1","naples","2020-09-25",24398,"San Carlo all'Arena",40.85714,14.25763,"Entire apartment","Entire home/apt",4,3,3,"$159.00",3,180,30,60,90,90,NA,NA,NA,158.509090909091,0,0,0,43590
"2","naples","2020-09-25",30466,"San Carlo all'Arena",40.85759,14.25943,"Private room in bed and breakfast","Private room",2,1,1,"$41.00",2,180,30,60,82,348,NA,NA,41.875,41.7647058823529,0,0,335,710
"3","naples","2020-09-25",30536,"San Lorenzo",40.85543,14.25812,"Private room in condominium","Private room",1,1,0,"$41.00",2,30,29,59,79,79,40,40,41.3636363636364,41.4335664335664,40,40,455,11850
"4","naples","2020-09-25",49051,"San Lorenzo",40.85156,14.26255,"Private room in bed and breakfast","Private room",2,1,1,"$29.00",1,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"5","naples","2020-09-25",51629,"San Lorenzo",40.85308,14.26167,"Private room in bed and breakfast","Private room",2,1,1,"$29.00",1,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6","naples","2020-09-25",51630,"San Lorenzo",40.85326,14.26149,"Private room in bed and breakfast","Private room",2,1,1,"$29.00",2,365,29,59,89,364,29,29,29,29,29,29,29,29
"7","naples","2020-09-25",51631,"San Lorenzo",40.85294,14.26303,"Private room in bed and breakfast","Private room",2,1,1,"$29.00",1,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"8","naples","2020-09-25",51632,"San Lorenzo",40.8532,14.26311,"Private room in bed and breakfast","Private room",3,1,3,"$29.00",1,730,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"9","naples","2020-09-25",63413,"Chiaia",40.83319,14.22613,"Entire apartment","Entire home/apt",2,1,0,"$57.00",2,60,25,55,85,360,56,56,56,56,280,280,280,280
"10","naples","2020-09-25",74364,"San Lorenzo",40.8512,14.25217,"Entire apartment","Entire home/apt",2,1,1,"$39.00",3,1125,24,54,84,359,38.6666666666667,38.6666666666667,38.6666666666667,38.6666666666667,232,232,232,232
"11","naples","2020-09-25",76993,"Vomero",40.84568,14.22618,"Private room in condominium","Private room",3,1,2,"$30.00",2,35,29,59,81,345,30,30,30,30,30,30,270,600
"12","naples","2020-09-25",77009,"Vomero",40.84568,14.22618,"Private room in apartment","Private room",2,1,1,"$23.00",3,35,28,58,81,344,23,23,24.5555555555556,24.8095238095238,46,46,221,521
"13","naples","2020-09-25",77010,"Vomero",40.84568,14.22618,"Private room in condominium","Private room",3,1,2,"$23.00",3,35,21,51,74,337,24.5555555555556,24.5555555555556,24.75,24.8571428571429,221,221,396,696
"14","naples","2020-09-25",107336,"San Ferdinando",40.83992,14.24613,"Entire apartment","Entire home/apt",2,1,1,"$41.00",2,30,0,0,0,18,32.5,31.25,30.8555555555556,33.0634005763689,975,1875,2777,11473
"15","naples","2020-09-25",112346,"San Lorenzo",40.854,14.26913,"Room in hotel","Hotel room",2,1,2,"$40.00",1,730,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"16","naples","2020-09-25",113520,"Mercato",40.84582,14.27526,"Entire apartment","Entire home/apt",4,1,2,"$35.00",1,29,29,59,89,96,35,35,35,35,35,35,35,9415
"17","naples","2020-09-25",129087,"San Carlo all'Arena",40.85876,14.26108,"Private room in bed and breakfast","Private room",2,1,1,"$45.00",2,25,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"18","naples","2020-09-25",137587,"San Lorenzo",40.85361,14.25844,"Entire apartment","Entire home/apt",5,3,3,"$71.00",3,30,30,60,90,364,NA,NA,NA,61,0,0,0,61
"19","naples","2020-09-25",157691,"Pendino",40.84997,14.26052,"Entire apartment","Entire home/apt",4,1,2,"$28.00",2,30,1,25,55,56,28,28,28,29.0582524271845,812,980,980,8979
"20","naples","2020-09-25",158928,"San Lorenzo",40.85392,14.25673,"Entire apartment","Entire home/apt",6,3,3,"$90.00",1,730,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"21","naples","2020-09-25",162072,"San Giuseppe",40.84816,14.25409,"Entire apartment","Entire home/apt",5,1,2,"$60.00",2,180,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"22","naples","2020-09-25",163695,"San Giuseppe",40.84199,14.25234,"Private room in apartment","Private room",2,1,2,"$30.00",3,60,28,58,88,363,30,30,30,30,60,60,60,60
"23","naples","2020-09-25",163929,"Porto",40.8402,14.25516,"Entire condominium","Entire home/apt",3,1,3,"$72.00",1,365,24,54,84,359,72,72,72,72,432,432,432,432
"24","naples","2020-09-25",167940,"San Ferdinando",40.8361,14.24719,"Entire apartment","Entire home/apt",9,3,8,"$90.00",2,90,28,58,88,363,90,90,90,90,180,180,180,180
"25","naples","2020-09-25",169588,"San Giuseppe",40.84509,14.25026,"Entire condominium","Entire home/apt",6,1,6,"$65.00",1,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"26","naples","2020-09-25",170880,"San Carlo all'Arena",40.85848,14.26011,"Private room in bed and breakfast","Private room",2,1,1,"$45.00",2,60,27,57,87,362,45,45,45,45,135,135,135,135
"27","naples","2020-09-25",171677,"San Carlo all'Arena",40.85862,14.25964,"Private room in bed and breakfast","Private room",2,1,1,"$40.00",2,30,29,59,89,364,42,42,42,42,42,42,42,42
"28","naples","2020-09-25",176475,"Chiaia",40.83592,14.23648,"Entire apartment","Entire home/apt",8,3,6,"$141.00",1,31,0,0,0,0,144.5,147.416666666667,139.833333333333,149.350684931507,4335,8845,12585,54513
"29","naples","2020-09-25",183077,"Montecalvario",40.84626,14.24337,"Entire apartment","Entire home/apt",4,2,NA,"$129.00",3,365,0,0,11,286,145,147.5,148.101265822785,148.101265822785,4350,8850,11700,11700
"30","naples","2020-09-25",185205,"San Lorenzo",40.85576,14.26332,"Private room in bed and breakfast","Private room",2,1,1,"$50.00",1,10,0,0,0,267,50,50,50,50,1500,3000,4500,4900
"31","naples","2020-09-25",191679,"Chiaia",40.83486,14.22451,"Entire apartment","Entire home/apt",5,1,1,"$48.00",2,1825,24,52,79,326,47.3333333333333,47.75,48.0909090909091,48.7435897435897,284,382,529,1901
"32","naples","2020-09-25",191818,"Chiaia",40.83694,14.23259,"Private room in bed and breakfast","Private room",3,1,1,"$29.00",1,730,27,57,87,362,29,29,29,29,87,87,87,87
"33","naples","2020-09-25",192478,"Pendino",40.84735,14.25829,"Entire apartment","Entire home/apt",4,2,2,"$20.00",5,69,0,24,54,54,20,20,20,22.395498392283,600,720,720,6965
"34","naples","2020-09-25",194760,"San Giuseppe",40.84756,14.25102,"Entire apartment","Entire home/apt",6,2,4,"$68.00",1,365,29,40,40,40,64,108.15,109.88,177.716923076923,64,2163,5494,57758
"35","naples","2020-09-25",198292,"Montecalvario",40.84711,14.24356,"Private room in apartment","Private room",2,1,1,"$42.00",1,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"36","naples","2020-09-25",199327,"San Ferdinando",40.83566,14.2463,"Entire apartment","Entire home/apt",4,1,2,"$60.00",3,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"37","naples","2020-09-25",203130,"Vomero",40.84419,14.24058,"Entire apartment","Entire home/apt",4,1,3,"$130.00",3,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"38","naples","2020-09-25",204618,"San Ferdinando",40.8369,14.24595,"Entire house","Entire home/apt",3,1,2,"$23.00",2,28,18,48,78,349,23.5833333333333,23.5833333333333,23.5833333333333,24.375,283,283,283,390
"39","naples","2020-09-25",209277,"San Giuseppe",40.84587,14.25115,"Entire apartment","Entire home/apt",7,2,4,"$60.00",1,730,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"40","naples","2020-09-25",209278,"San Giuseppe",40.84586,14.25112,"Entire apartment","Entire home/apt",5,1,3,"$50.00",1,730,26,56,86,176,50,50,50,69.5767195767196,200,200,200,13150
"41","naples","2020-09-25",210551,"San Ferdinando",40.83082,14.24928,"Entire condominium","Entire home/apt",5,1,5,"$83.00",1,365,28,58,88,363,83.5,83.5,83.5,83.5,167,167,167,167
"42","naples","2020-09-25",212791,"San Giuseppe",40.84877,14.25412,"Private room in bed and breakfast","Private room",4,1,3,"$65.00",2,28,28,58,88,363,65,65,65,65,130,130,130,130
