"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"1","sevilla","2020-06-29",32347,"San Vicente",37.39468,-6.00183,"Apartment","Entire home/apt",4,2,2,"$99.00",2,120,29,59,76,346,75,75,97.2857142857143,97.7368421052632,75,75,1362,1857
"2","sevilla","2020-06-29",49287,"Feria",37.39855,-5.99365,"Apartment","Entire home/apt",3,1,1,"$49.00",1,1125,24,54,65,324,51,51,81.04,71.4634146341463,306,306,2026,2930
"3","sevilla","2020-06-29",94187,"San Bartolomé",37.39012,-5.98676,"House","Private room",2,1,0,"$55.00",2,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"4","sevilla","2020-06-29",108568,"Feria",37.39939,-5.99237,"Apartment","Entire home/apt",6,2,4,"$65.00",3,365,29,56,64,328,60,63.75,78.2692307692308,79.054054054054,60,255,2035,2925
"5","sevilla","2020-06-29",116703,"Arenal",37.3868,-5.99666,"Apartment","Entire home/apt",4,1,2,"$65.00",3,365,23,53,72,271,60.7142857142857,60.7142857142857,77.2222222222222,69.0425531914894,425,425,1390,6490
"6","sevilla","2020-06-29",117278,"Arenal",37.38595,-5.997,"Apartment","Entire home/apt",4,1,3,"$60.00",3,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"7","sevilla","2020-06-29",120619,"Santa Cruz",37.38814,-5.99399,"Apartment","Private room",2,1,2,"$35.00",1,30,30,60,90,355,NA,NA,NA,35,0,0,0,350
"8","sevilla","2020-06-29",131987,"San Vicente",37.39455,-6.00094,"Apartment","Entire home/apt",4,1,2,"$69.00",4,365,30,60,77,77,NA,NA,79,88.6527777777778,0,0,1027,25532
"9","sevilla","2020-06-29",144918,"Triana Casco Antiguo",37.38222,-5.99989,"Apartment","Entire home/apt",4,1,2,"$46.00",2,90,29,59,87,360,46,46,46,46,46,46,138,230
"10","sevilla","2020-06-29",159596,"Arenal",37.38456,-5.99583,"Apartment","Entire home/apt",4,2,2,"$100.00",64,330,28,58,88,88,100,100,100,105.631768953069,200,200,200,29260
"11","sevilla","2020-06-29",179629,"Alfalfa",37.38948,-5.99238,"Apartment","Entire home/apt",5,3,4,"$115.00",3,365,15,20,39,254,70,71.125,82.3529411764706,122.972972972973,1050,2845,4200,13650
"12","sevilla","2020-06-29",185356,"Cruz Roja, Capuchinos",37.4011,-5.98396,"Apartment","Entire home/apt",7,3,7,"$110.00",3,365,3,17,32,269,110,110,110,128.333333333333,2970,4730,6380,12320
"13","sevilla","2020-06-29",201209,"Las Avenidas",37.41096,-5.98477,"Apartment","Entire home/apt",8,3,5,"$60.00",2,365,0,0,0,12,57.2666666666667,56.6333333333333,61.6666666666667,62.7025495750708,1718,3398,5550,22134
"14","sevilla","2020-06-29",207702,"Museo",37.38945,-5.99889,"Apartment","Entire home/apt",2,1,1,"$77.00",3,30,0,0,5,5,55.3333333333333,55.1666666666667,77.4352941176471,112.725,1660,3310,6582,40581
"15","sevilla","2020-06-29",217440,"Santa Cruz",37.3885,-5.99344,"Apartment","Private room",2,1,2,"$35.00",1,7,23,53,75,337,33.5714285714286,33.5714285714286,32.6666666666667,33.0357142857143,235,235,490,925
"16","sevilla","2020-06-29",219958,"Heliópolis",37.35385,-5.98488,"Guest suite","Entire home/apt",9,3,6,"$120.00",2,365,12,42,72,347,169.444444444444,169.444444444444,169.444444444444,169.444444444444,3050,3050,3050,3050
"17","sevilla","2020-06-29",227905,"San Vicente",37.3948,-6.00121,"Apartment","Private room",1,1,1,"$30.00",1,30,29,59,89,127,30,30,30,30,30,30,30,7140
"18","sevilla","2020-06-29",229403,"Feria",37.39913,-5.99088,"Apartment","Entire home/apt",2,1,1,"$52.00",365,365,30,60,90,90,NA,NA,NA,61.7745454545455,0,0,0,16988
"19","sevilla","2020-06-29",253430,"Alfalfa",37.39002,-5.99061,"Apartment","Entire home/apt",2,1,1,"$50.00",2,365,30,60,87,360,NA,NA,50,50,0,0,150,250
"20","sevilla","2020-06-29",266016,"San Bernardo",37.38081,-5.98592,"Loft","Entire home/apt",6,2,4,"$65.00",2,365,30,60,90,90,NA,NA,NA,67.8363636363636,0,0,0,18655
