"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"1","bordeaux","2020-09-19",3,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","bordeaux","2020-09-19",9,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","bordeaux","2020-09-19",10,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","bordeaux","2020-09-19",28925,"Centre ville (Bordeaux)","44.8491","-0.5935","Entire house","Entire home/apt","12","5","13","$350.00",2,"21",0,17,46,278,350,350,350,350,10500,15050,15400,30450
"5","bordeaux","2020-09-19",185534,"Saint Augustin - Tauzin - Alphonse Dupeux","44.83063","-0.59331","Entire house","Entire home/apt","6","3","3","$125.00",4,"15",0,0,0,0,125,125,125,125,3750,7500,11250,45625
"6","bordeaux","2020-09-19",218103,"Bgles","44.81418","-0.54842","Entire apartment","Entire home/apt","4","1","0","$110.00",2,"21",30,60,90,276,NA,NA,NA,109.213483146067,0,0,0,9720
"7","bordeaux","2020-09-19",222887,"Bordeaux Sud","44.83611","-0.5664","Entire apartment","Entire home/apt","4","2","3","$174.00",3,"90",28,51,81,302,190,181.444444444444,181.444444444444,193.587301587302,380,1633,1633,12196
"8","bordeaux","2020-09-19",317273,"Chartrons - Grand Parc - Jardin Public","44.84782","-0.58105","Entire apartment","Entire home/apt","3","1","2","$127.00",3,"90",0,17,47,303,127,127.53488372093,127.53488372093,145.564516129032,3810,5484,5484,9025
"9","bordeaux","2020-09-19",317658,"Centre ville (Bordeaux)","44.83882","-0.56887","Entire apartment","Entire home/apt","6","2","4","$190.00",3,"90",3,20,50,280,190,189.725,189.725,189.458823529412,5130,7589,7589,16104
"10","bordeaux","2020-09-19",333031,"Centre ville (Bordeaux)","44.84267","-0.57656","Entire apartment","Entire home/apt","2","","1","$72.00",1,"1125",28,57,87,362,70,73,73,73,140,219,219,219
"11","bordeaux","2020-09-19",333592,"Centre ville (Bordeaux)","44.84701","-0.58249","Entire apartment","Entire home/apt","2","1","1","$90.00",2,"31",18,38,38,38,98.3333333333333,98.1818181818182,100.384615384615,101.31498470948,1180,2160,5220,33130
"12","bordeaux","2020-09-19",365993,"Bgles","44.81149","-0.55825","Entire apartment","Entire home/apt","6","2","3","$85.00",5,"30",15,45,75,350,85,85,85,85,1275,1275,1275,1275
"13","bordeaux","2020-09-19",400306,"La Bastide","44.8439","-0.55831","Entire condominium","Entire home/apt","2","1","1","$59.00",1,"1125",0,0,0,0,59,59,59,59,1770,3540,5310,21535
"14","bordeaux","2020-09-19",403245,"Bordeaux Sud","44.83385","-0.57033","Entire apartment","Entire home/apt","3","1","2","$59.00",2,"31",0,0,0,81,59,59,59,59,1770,3540,5310,16756
"15","bordeaux","2020-09-19",408270,"Bgles","44.81412","-0.54641","Entire apartment","Entire home/apt","4","1","1","$90.00",2,"21",30,60,90,276,NA,NA,NA,89.6067415730337,0,0,0,7975
"16","bordeaux","2020-09-19",410267,"Bgles","44.81494","-0.54799","Entire apartment","Entire home/apt","4","1","1","$90.00",2,"21",26,56,86,272,90,90,90,89.6236559139785,360,360,360,8335
"17","bordeaux","2020-09-19",412475,"Bgles","44.81428","-0.54875","Entire apartment","Entire home/apt","4","1","1","$90.00",2,"21",28,55,85,271,90,90,90,89.6276595744681,180,450,450,8425
"18","bordeaux","2020-09-19",437127,"Chartrons - Grand Parc - Jardin Public","44.85636","-0.58518","Private room in apartment","Private room","2","1","1","$46.00",2,"1125",17,39,45,311,45.1538461538462,45.1904761904762,45.4444444444444,45.5185185185185,587,949,2045,2458
"19","bordeaux","2020-09-19",438600,"Chartrons - Grand Parc - Jardin Public","44.85575","-0.5824","Private room in apartment","Private room","1","1","1","$31.00",2,"1125",14,36,41,307,30.25,30.25,30.4489795918367,30.5172413793103,484,726,1492,1770
"20","bordeaux","2020-09-19",450324,"Plaisance-Loret-Maregue","44.86238","-0.50698","Entire house","Entire home/apt","5","4","4","$110.00",2,"1125",3,15,15,31,110,110,110,110,2970,4950,8250,36740
"21","bordeaux","2020-09-19",457462,"Talence","44.80935","-0.59991","Entire apartment","Entire home/apt","4","2","2","$75.00",2,"21",0,18,48,323,75,75,75,75,2250,3150,3150,3150
"22","bordeaux","2020-09-19",457640,"Talence","44.80907","-0.60034","Entire apartment","Entire home/apt","4","2","2","$80.00",2,"30",0,0,0,112,80,80,80,80,2400,4800,7200,20240
"23","bordeaux","2020-09-19",482102,"Le Bouscat","44.85446","-0.59562","Entire townhouse","Entire home/apt","12","6","7","$195.00",2,"21",22,40,60,319,195,195,195,195,1560,3900,5850,8970
"24","bordeaux","2020-09-19",500193,"Bordeaux Sud","44.83118","-0.5628","Entire apartment","Entire home/apt","4","2","2","$97.14",1,"14",5,33,63,338,100,100,100,100,2500,2700,2700,2700
"25","bordeaux","2020-09-19",545440,"Chartrons - Grand Parc - Jardin Public","44.85657","-0.57796","Entire house","Entire home/apt","5","2","2","$230.00",2,"30",0,20,50,300,211,208.25,208.25,205.384615384615,6330,8330,8330,13350
"26","bordeaux","2020-09-19",548827,"Centre ville (Bordeaux)","44.83949","-0.57233","Private room in bed and breakfast","Private room","2","1","1","$110.00",1,"6",23,50,77,157,110,110,110,110,770,1100,1430,22880
"27","bordeaux","2020-09-19",557526,"Talence","44.81216","-0.59949","Entire apartment","Entire home/apt","3","2","1","$79.00",3,"21",0,0,0,0,79,79,79,79,2370,4740,7110,28835
