"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"1","malaga","2020-06-30",96033,"Este",36.72031,-4.35627,"Apartment","Entire home/apt",3,2,2,"$49.00",3,1125,3,9,15,290,43,48.3333333333333,44.7333333333333,44.7333333333333,1161,2465,3355,3355
"2","malaga","2020-06-30",131725,"Carretera de Cadiz",36.70658,-4.43705,"Apartment","Entire home/apt",3,2,3,"$37.00",4,180,0,3,3,3,49.9,52.140350877193,50.8850574712644,41.2651933701657,1497,2972,4427,14938
"3","malaga","2020-06-30",155696,"Centro",36.72723,-4.4072,"Condominium","Entire home/apt",5,3,5,"$180.00",3,365,22,45,68,329,180,180,180,180,1440,2700,3960,6480
"4","malaga","2020-06-30",159650,"Ciudad Jardin",36.74604,-4.41747,"Apartment","Entire home/apt",6,3,6,"$60.00",7,30,14,24,50,50,60,60.2777777777778,60.25,107.857142857143,960,2170,2410,33975
"5","malaga","2020-06-30",166473,"Este",36.71934,-4.35942,"Apartment","Private room",3,1,0,"$19.00",5,365,0,0,26,301,19,19,19,19,570,1140,1216,1216
"6","malaga","2020-06-30",212845,"Este",36.72606,-4.36541,"Apartment","Shared room",2,1,2,"$35.00",2,90,20,42,70,345,39.5,40.8333333333333,40.25,40.25,395,735,805,805
"7","malaga","2020-06-30",229511,"Este",36.79087,-4.38198,"House","Entire home/apt",12,4,10,"$200.00",5,365,21,23,50,325,200,200,200,200,1800,7400,8000,8000
"8","malaga","2020-06-30",340024,"Centro",36.72813,-4.41422,"Apartment","Entire home/apt",2,1,2,"$47.00",3,90,16,37,64,339,55,55.8695652173913,56.6923076923077,56.6923076923077,770,1285,1474,1474
"9","malaga","2020-06-30",358541,"Centro",36.72338,-4.42208,"Apartment","Entire home/apt",2,1,1,"$44.00",2,366,11,14,29,304,47.1052631578947,46.8913043478261,45.9672131147541,45.9672131147541,895,2157,2804,2804
"10","malaga","2020-06-30",412798,"Teatinos-Universidad",36.72369,-4.46125,"Apartment","Entire home/apt",7,4,0,"$115.00",5,1124,13,27,29,29,82,85.8787878787879,99.2459016393443,112.139880952381,1394,2834,6054,37679
"11","malaga","2020-06-30",421077,"Centro",36.72117,-4.42526,"Apartment","Entire home/apt",2,1,1,"$48.00",1,1125,30,50,72,347,NA,76.5,68,68,0,765,1224,1224
